order_id,first_name,last_name,email,age,city,product,category,quantity,unit_price,total_amount,payment_method,status,order_date
ORD0032,Ali,Cherif,ali.cherif501@email.com,26,Setif,Smartwatch,Electronics,2.0,95325.52,190651.04,BaridiMob,completed,2025-01-11
ORD0110,Bilal,Boudiaf,bilal.boudiaf974@email.com,21,Annaba,Router,Peripherals,2.0,147148.69,294297.38,BaridiMob,returned,2025-11-12
ORD0137,Amine,Ferhat,amine.ferhat594@email.com,48,Tlemcen,RAM 16GB,Networking,10.0,48819.63,488196.3,BaridiMob,pending,2025-08-03
ORD0089,Amine,Mansouri,amine.mansouri502@email.com,47,Tiaret,Tablet,Storage,9.0,72909.04,656181.36,BaridiMob,returned,2025-09-13
ORD0919,Ahmed,Cherif,ahmed.cherif458@email.com,34,Mostaganem,Mouse,Electronics,1.0,19757.99,19757.99,CIB,pending,2025-02-18
ORD0965,Sara,Mansouri,sara.mansouri836@email.com,52,Oran,Router,Peripherals,4.0,109706.26,438825.04,BaridiMob,pending,2025-05-01
ORD0871,Ahmed,Khelifi,ahmed.khelifi868@email.com,64,Sidi Bel Abbes,Mouse,Peripherals,4.0,31269.71,125078.84,Cash,pending,2025-11-23
ORD0319,Lina,Boudiaf,lina.boudiaf558@email.com,38,Mostaganem,Webcam,Peripherals,10.0,75607.79,756077.9,Dahabia,shipped,2025-03-01
ORD0262,Bilal,Saidi,bilal.saidi69@email.com,51,Setif,Laptop,Electronics,1.0,127452.41,127452.41,Cash,pending,2025-12-08
ORD0536,Djamila,Khelifi,djamila.khelifi611@email.com,56,Annaba,Monitor,Electronics,6.0,12381.58,74289.48,Dahabia,pending,2025-09-28
ORD0920,Sara,Meziane,sara.meziane128@email.com,51,Bejaia,Keyboard,Peripherals,9.0,26154.68,235392.12,Cash,pending,2025-05-02
ORD0597,Sara,Mansouri,sara.mansouri271@email.com,65,Mostaganem,Router,Electronics,1.0,25556.26,25556.26,Dahabia,cancelled,2025-05-16
ORD0077,Khaled,Taleb,khaled.taleb118@email.com,37,Bejaia,Monitor,Accessories,5.0,124081.36,620406.8,Cash,completed,2025-03-26
ORD0108,Meriem,Meziane,meriem.meziane100@email.com,65,Annaba,Smartwatch,Networking,3.0,58602.55,-175807.65,BaridiMob,returned,2025-07-19
ORD0425,Amine,Bouzid,amine.bouzid580@email.com,65,Djelfa,Mouse,Peripherals,7.0,25711.61,179981.27,BaridiMob,pending,2025-04-23
ORD0585,Samira,Bouzid,samira.bouzid296@email.com,60,Tiaret,RAM 16GB,Accessories,3.0,2234.61,6703.83,Cash,pending,2025-12-16
ORD0854,Youssef,Belkacem,youssef.belkacem744@email.com,24,Sidi Bel Abbes,Smartwatch,Accessories,8.0,61986.08,495888.64,Credit Card,completed,2025-06-03
ORD0665,Lina,Bouzid,lina.bouzid55@email.com,50,Setif,Mouse,Storage,6.0,7782.88,46697.28,BaridiMob,returned,2025-11-03
ORD0830,Mohamed,Khelifi,mohamed.khelifi55@email.com,23,Biskra,Power Bank,Peripherals,3.0,127799.64,383398.92,Credit Card,cancelled,2025-04-24
